Statefip	County	SMSA	Tract	Jurcode	Borderno	Block	tierno	oddshape	tracks	pairno	pop_tot_block	flaggq	perund18	pernoplumb	persingfam	peroo	valprm	lnvalprm	ct4_ooval	rentprm	lnrentprm	perblack	av_rooms_oo	av_value	av_rooms_rt	av_rent	ct2_occ
39	113	Dayton	0211	ketteroh	67	103	1			1	15	0	0.53	0	1	1	11217.51026	9.325231252	8	.	.	0	4.3	12300	0	0	8
39	113	Dayton	0211	ketteroh	67	104	1			1	30	0	0.37	0	1	0.9	9725.490196	9.182505573	9	.	.	0	5	12400	0	0	10
39	113	Dayton	0211	ketteroh	67	105	1			1	36	0	0.33	0.076923077	0.846153846	0.769230769	12149.17339	9.405016413	10	.	.	0	5.1	15800	0	0	13
39	113	Dayton	0211	ketteroh	67	106	1			1	13	0	0.15	0	1	1	11010.55807	9.306609916	6	.	.	0	5.2	14600	0	0	6
39	113	Dayton	0211	ketteroh	67	107	1			1	30	0	0.23	0	1	0.818181818	14039.21569	9.549609813	9	.	.	0.02	5	17900	0	0	11
39	113	Dayton	0211	ketteroh	67	108	2			1	57	0	0.25	0.05	1	0.8	10724.28972	9.280266515	16	.	.	0	4.9	13400	0	0	20
39	113	Dayton	0211	ketteroh	67	109	2			1	55	0	0.26	0	0.9	0.75	.	.	15	.	.	0	5.3	15100	4.6	0	20
39	113	Dayton	0211	ketteroh	67	110	2			1	62	0	0.24	0	1	0.952380952	10728.81983	9.280688842	20	.	.	0	5.3	14500	0	0	21
39	113	Dayton	0211	ketteroh	67	111	2			1	43	0	0.26	0	1	0.5625	10487.9161	9.257979025	9	92.37	4.525853431	0	4.3	11500	5.1	106	16
39	113	Dayton	0211	ketteroh	67	112	3			1	63	0	0.32	0	0.947368421	0.894736842	12379.8539	9.423825745	17	.	.	0	5.1	16100	0	0	19
39	113	Dayton	0211	ketteroh	67	113	3			1	40	0	0.35	0.066666667	0.866666667	0.733333333	9523.809524	9.161550208	11	.	.	0	4.9	11900	0	0	15
39	113	Dayton	0211	ketteroh	67	114	4			1	6	0	0.17	0	0	0	.	.	0	.	.	.	0	0	0	0	3
39	113	Dayton	0211	ketteroh	67	115	3			1	29	0	0.31	0	0.333333333	0.333333333	.	.	5	138.46	4.930592586	0	5.2	0	2.6	81	15
39	113	Dayton	0211	ketteroh	67	116	3			1	64	0	0.34	0	0.9	0.75	10680.01669	9.276129675	15	93.72	4.540309552	0	4.7	12800	4.6	97	20
39	113	Dayton	0211	ketteroh	67	117	2			1	84	0	0.24	0	0.777777778	0.638888889	12841.21492	9.460415192	23	97.78	4.58269733	0	5.1	16700	3.5	77	36
39	113	Dayton	0211	ketteroh	67	119	1			1	43	0	0.26	0	0.882352941	0.882352941	13960.78431	9.544007558	15	.	.	0	5	17800	0	0	17
39	113	Dayton	0211	ketteroh	67	201	1	Y		1	55	0	0.22	0	0.636363636	0.727272727	12702.47229	9.449551922	16	60.82	4.107897529	0	4.6	14900	3.8	52	22
39	113	Dayton	0211	ketteroh	67	202	2	Y		1	311	0	0.29	0.009009009	0.459459459	0.558558559	12374.72767	9.423411581	62	58.59	4.070493346	0	4.5	14200	4.4	58	111
39	113	Dayton	0211	ketteroh	67	203	3	Y		1	310	0	0.27	0.008064516	0.338709677	0.39516129	.	.	49	57.14	4.045554398	0	4.3	0	4.2	54	124
39	113	Dayton	0211	ketteroh	67	204	6	Y		1	80	0	0.3	0	0.290322581	0.322580645	.	.	10	57.78	4.056604234	0	4.1	0	4	52	31
39	113	Dayton	0211	ketteroh	67	205	4	Y		1	50	0	0.38	0	0.222222222	0.611111111	.	.	11	55.81	4.022023901	0	3.8	0	4.3	54	18
39	113	Dayton	0211	ketteroh	67	206	2	Y		1	70	0	0.19	0.03030303	0.272727273	0.575757576	.	.	19	53.75	3.984283573	0	4.6	0	4.3	52	33
39	113	Dayton	0211	ketteroh	67	208	5	Y		1	303	1	0.26	0.009259259	0.259259259	0.527777778	.	.	57	57.45	4.050959817	0	4.3	0	4.1	53	108
39	113	Dayton	0211	ketteroh	67	209	6	Y		1	269	0	0.31	0.05	0.41	0.63	13992.86988	9.546303184	63	57.14	4.045554398	0	4.4	15700	4.2	54	100
39	113	Dayton	0211	ketteroh	67	301	5			1	78	0	0.42	0	1	0.72	11764.70588	9.372859301	18	107.32	4.675787753	0	4.7	14100	4.1	99	25
39	113	Dayton	0211	ketteroh	67	302	5			1	69	0	0.29	0.041666667	1	0.916666667	12549.01961	9.437397823	22	.	.	0	5	16000	0	0	24
39	113	Dayton	0211	ketteroh	67	303	3			1	136	0	0.39	0.027027027	1	0.810810811	12394.95798	9.425045055	30	98.41	4.589169845	0	5.6	17700	5.6	124	37
39	113	Dayton	0211	ketteroh	67	304	3			1	64	0	0.3	0.045454545	1	0.954545455	12313.72549	9.418469813	21	.	.	0	5	15700	0	0	22
39	113	Dayton	0211	ketteroh	67	305	4			1	66	0	0.36	0.045454545	1	0.818181818	13285.31413	9.494414503	18	.	.	0	4.9	16600	0	0	22
39	113	Dayton	0211	ketteroh	67	306	2			1	48	0	0.13	0.043478261	1	0.782608696	12477.71836	9.431699801	18	95.37	4.557767947	0	4.4	14000	4.8	103	23
39	113	Dayton	0211	ketteroh	67	307	1			1	37	0	0.41	0.066666667	1	0.933333333	12676.69859	9.44752083	14	.	.	0	4.3	13900	0	0	15
39	113	Dayton	0211	ketteroh	67	308	1			1	17	0	0.41	0	1	0.8	.	.	4	.	.	0	0	0	0	0	5
39	113	Dayton	0211	ketteroh	67	309	1			1	25	0	0.32	0	1	1	12134.66519	9.403821527	9	.	.	0	5.3	16400	0	0	9
39	113	Dayton	0211	ketteroh	67	310	1	Y		1	471	0	0.3	0.011235955	0.426966292	0.370786517	12055.19245	9.397250755	66	120.80	4.794117418	0.006228571	5.4	16600	3.9	106	178
39	113	Dayton	0211	ketteroh	67	311	4	Y		1	207	0	0.27	0.022727273	0.295454545	0.215909091	13689.83957	9.5244092	19	120.80	4.794117418	0	5.5	19200	3.9	106	88
39	113	Dayton	0211	ketteroh	67	312	3	Y		1	253	0	0.27	0.009259259	0.111111111	0	.	.	0	111.68	4.715645802	0	0	0	3.9	98	108
39	113	Dayton	0211	ketteroh	67	313	3			1	245	0	0.27	0	0.093457944	0.009345794	.	.	1	116.96	4.761823996	0	0	0	3.8	100	107
39	113	Dayton	0211	ketteroh	67	314	3			1	93	0	0.24	0.022727273	0.090909091	0	.	.	0	114.62	4.741621289	0	0	0	3.8	98	44
39	113	Dayton	0211	ketteroh	67	315	5			1	94	0	0.23	0	0.0625	0	.	.	0	113.45	4.731364789	0	0	0	3.8	97	48
39	113	Dayton	0212	ketteroh	67	101	7	Y		1	509	0	0.36	0.021621622	0.675675676	0.502702703	15098.03922	9.622320161	93	192.59	5.260577039	0	6	23100	3.6	156	185
39	113	Dayton	0212	ketteroh	67	102	7			1	92	0	0.51	0.047619048	1	1	14047.41001	9.550193317	21	.	.	0	6.7	24000	0	0	21
39	113	Dayton	0212	ketteroh	67	103	7			1	49	0	0.31	0.071428571	1	0.928571429	14200.83185	9.561055823	13	.	.	0	6.6	23900	0	0	14
39	113	Dayton	0212	ketteroh	67	104	8			1	51	0	0.45	0	1	1	14781.29713	9.601117953	12	.	.	0	6.5	24500	0	0	12
39	113	Dayton	0212	ketteroh	67	105	7	Y		1	208	0	0.4	0	1	0.964285714	16456.58263	9.708480836	54	.	.	0	5.6	23500	0	0	56
39	113	Dayton	0212	ketteroh	67	106	2			1	102	0	0.4	0.083333333	1	1	12844.55811	9.460675507	24	.	.	0	6.9	22600	0	0	24
39	61	Cincinnati	0060	cincinoh	68	109	4			1	108	0	0.43	0.052631579	0.131578947	0.263157895	11215.68627	9.325068638	10	103.70	4.64153783	0	5	14300	3.6	84	38
39	61	Cincinnati	0060	cincinoh	68	111	6			1	93	0	0.3	0	0.121212121	0.151515152	.	.	5	111.11	4.710530702	0	6	0	3.6	90	33
39	61	Cincinnati	0060	cincinoh	68	209	8	Y		1	133	0	0.35	0.02173913	0.347826087	0.52173913	10728.81983	9.280688842	24	103.30	4.637669353	0	5.3	14500	3.7	86	46
39	61	Cincinnati	0060	cincinoh	68	210	7	Y		1	107	0	0.27	0.025641026	0.435897436	0.564102564	12490.92229	9.432757443	22	105.26	4.65646348	0	5.4	17200	3.8	90	39
39	61	Cincinnati	0060	cincinoh	68	211	7	Y		1	41	0	0.46	0.076923077	0.153846154	0.230769231	.	.	3	104.13	4.645611156	0	0	0	3.5	82	13
39	61	Cincinnati	0060	cincinoh	68	301	4			1	26	0	0.15	0	0.545454545	0.818181818	11038.48947	9.309143487	9	.	.	0	5.4	15200	0	0	11
39	61	Cincinnati	0060	cincinoh	68	302	7			1	98	0	0.2	0.043478261	0.239130435	0.260869565	11359.02637	9.337767982	12	103.70	4.64153783	0	5.8	16800	3.3	77	46
39	61	Cincinnati	0060	cincinoh	68	308	8			1	99	0	0.25	0.029411765	0.617647059	0.676470588	11474.21932	9.347857999	23	83.84	4.428890944	0	5.4	15800	4.4	83	34
39	61	Cincinnati	0060	cincinoh	68	309	7			1	68	0	0.24	0.0625	0.34375	0.4375	10634.76238	9.271883384	14	94.74	4.551102965	0	5.9	16000	3.8	81	32
39	61	Cincinnati	0060	cincinoh	68	401	3			1	119	0	0.35	0.048780488	0.365853659	0.390243902	11610.91888	9.359701217	16	101.23	4.617440279	0	5.1	15100	3.6	82	41
39	61	Cincinnati	0060	cincinoh	68	402	1			1	127	0	0.39	0	0.512820513	0.666666667	10574.22969	9.266175159	26	91.17	4.512704958	0	5.6	15100	3.9	80	39
39	61	Cincinnati	0060	cincinoh	68	403	1			1	64	0	0.25	0.04	0.52	0.56	10656.43649	9.273919354	14	94.06	4.543899361	0	4.6	12500	4.3	91	25
39	61	Cincinnati	0060	cincinoh	68	404	2			1	188	1	0.26	0.027777778	0.583333333	0.625	11172.771	9.321234936	45	88.89	4.48738715	0	5.3	15100	3.7	74	72
39	61	Cincinnati	0060	cincinoh	68	405	3			1	60	0	0.18	0.034482759	0.689655172	0.724137931	11690.71402	9.366550132	21	.	.	0	5.3	15800	4.2	0	29
39	61	Cincinnati	0060	cincinoh	68	406	4			1	132	0	0.32	0	0.577777778	0.644444444	10965.86783	9.302542803	29	98.64	4.59152741	0	5.4	15100	4.1	91	45
39	61	Cincinnati	0060	cincinoh	68	407	5			1	146	1	0.34	0.02	0.6	0.56	10695.18717	9.277549122	28	104.07	4.645016095	0	5.5	15000	4.1	96	50
39	61	Cincinnati	0060	cincinoh	68	408	6			1	148	0	0.28	0	0.230769231	0.292307692	10724.28972	9.280266515	19	114.11	4.737198949	0	4.9	13400	3.7	95	65
39	61	Cincinnati	0226	wyominoh	68	304	8			1	31	0	0.45	0	1	0.875	14504.43191	9.582209531	7	.	.	0	7.3	27000	0	0	8
39	61	Cincinnati	0226	wyominoh	68	305	8			1	26	0	0.35	0	0.777777778	0.777777778	12894.64939	9.464567728	7	.	.	0	5.9	19400	0	0	9
39	61	Cincinnati	0226	wyominoh	68	306	8			1	62	0	0.29	0	0	0	.	.	0	64.33	4.163986995	0	0	0	3.8	55	26
39	61	Cincinnati	0226	wyominoh	68	307	7			1	28	0	0.04	0	0.428571429	0.642857143	11044.41777	9.3096804	9	95.06	4.554526453	0	4.9	13800	3.6	77	14
39	61	Cincinnati	0226	wyominoh	68	308	7			1	60	0	0.35	0.15	0.4	0.4	13664.21569	9.522535701	8	100.28	4.608015138	0	6.4	22300	3.9	88	20
39	61	Cincinnati	0226	wyominoh	68	309	7			1	54	0	0.35	0	0.466666667	0.533333333	10084.03361	9.218708622	8	82.54	4.413279178	0	7	18000	6.3	117	15
39	61	Cincinnati	0226	wyominoh	68	401	6			1	49	0	0.45	0	1	1	12901.39244	9.465090526	12	.	.	0	6.9	22700	0	0	12
39	61	Cincinnati	0226	wyominoh	68	402	6			1	47	0	0.26	0	0.875	0.9375	10834.16417	9.29045977	15	.	.	0	5.9	16300	0	0	16
39	61	Cincinnati	0226	wyominoh	68	403	4			1	118	0	0.28	0.054054054	0.918918919	0.918918919	12141.77979	9.404407659	34	.	.	0.027567568	5.2	16100	0	0	37
39	61	Cincinnati	0226	wyominoh	68	404	4			1	142	0	0.25	0	0.6875	0.6875	13119.42959	9.481849585	33	117.72	4.768289536	0	5.5	18400	3.7	98	48
39	61	Cincinnati	0226	wyominoh	68	405	3			1	47	0	0.13	0	0.777777778	0.833333333	12578.61635	9.439753536	15	.	.	0	5.3	17000	0	0	18
39	61	Cincinnati	0226	wyominoh	68	406	1	Y		1	112	0	0.24	0	0.615384615	0.692307692	12207.46363	9.409802817	27	97.56	4.580477573	0	6.2	19300	4.1	90	39
39	61	Cincinnati	0226	wyominoh	68	407	1			1	73	0	0.29	0	0.75	0.666666667	12642.66901	9.444832801	16	119.19	4.78073496	0	6.7	21600	4.4	118	24
39	61	Cincinnati	0226	wyominoh	68	408	2	Y		1	130	0	0.41	0	0.810810811	0.756756757	13677.66619	9.523519576	28	76.60	4.338541523	0	8.2	28600	4.7	81	37
39	61	Cincinnati	0226	wyominoh	68	501	6	Y		1	68	0	0.52	0	0.866666667	0.933333333	15178.77739	9.627653507	14	.	.	0	8.5	32900	0	0	15
