"distid","distname","regcommand","fraudchi2_total","est_fraud_share","fraudchi2_k","fraudchi2_a","v.elday.pc","v.elday.pc.2","v.2months.pc","v.2months.pc.2","v.elday.pc.lag","numclosedstations","electrified","pce_1000_07","distkabul","elevation"
1612,"Dihdadi",3,0,0,0,0,0,0,0.0159543068651382,0.000254539907546997,0,3,0.958333313465118,2.95668005943298,304.667759485851,478.502868652344
1613,"Kaldar",3,0,0,0,0,0,0,0,0,0,1,1,1.79785203933716,324.613682180723,303.036285400391
1614,"Khulm",3,0,0.0116844996809959,1,0,0,0,0,0,0.0057126339494415,0,0.324999988079071,2.41471409797668,284.186469777424,453.210388183594
1615,"Marmul",3,0,0.319927394390106,0,0,0,0,0,0,0,1,0.25,2.93370699882507,286.973555838575,1016.00219726562
1701,"Shibirghan",3,0,0,0,0,0,0,0,0,0.00532609930689694,5,0.995370388031006,5.66793203353882,382.957081172174,451.504364013672
1702,"Khwaja Du Koh",3,0,0,0,0,0,0,0,0,0,0,1,9.21996116638184,418.426970959703,300.904968261719
1703,"Darzab",3,0,0,0,0,0.0413582033996443,0.00171050098844635,0.206791016998222,0.0427625247111588,0.0142029314850585,0,0.125,4.58261680603027,380.312839983168,1430.9599609375
1704,"Mangajek",3,0,0.0112570002675056,0,0,0,0,0.0127286381630029,0.000162018229484655,0,3,0.25,4.38293981552124,401.291347526452,274.916137695312
1705,"Qarqin",3,0,0,0,0,0,0,0,0,0,1,0.03125,5.78460311889648,413.644137236,263.726959228516
1706,"Aqcha",3,0,0,0,0,0,0,0.0515605664787571,0.00265849201561033,0,1,0.765625,6.16503381729126,374.876052141069,291.028564453125
1707,"Mardyan",3,0,0,0,0,0,0,0.00800448251020571,6.40717402561892e-05,0.0015180634368349,1,0,5.99201488494873,378.931631249001,279.434997558594
1708,"Fayzabad",3,1,0.0568884983658791,0,0,0,0,0.0151857982414846,0.000230608468231076,0.00130119723157277,0,0.0416667014360428,3.63641500473022,351.729383106953,407.047760009766
1709,"Kham Ab",3,0,0,0,1,0,0,0,0,0,0,0.25,3.50049710273743,437.984483498727,254.809799194336
1710,"Khaniqa",3,0,0.0626598000526428,0,0,0,0,0.0731047591198187,0.00534430580596672,0,0,0.0833332985639572,6.30982208251953,371.085701387316,336.51171875
1711,"Qush Tepa",3,0,0.0347683988511562,0,0,0.0426087944551755,0.0018155093649234,0.0710146574252926,0.00504308156923166,0.00590831477137777,0,0,4.43849992752075,391.957214988286,775.214172363281
1801,"Maymana",3,0,0,0,0,0,0,0.0515951500558947,0.0026620595092903,0,0,0.887499988079071,5.57495021820068,427.237275464671,913.405700683594
1802,"Pashtun Kot",3,0,0.0614956989884377,0,0,0,0,0.0179315909804097,0.000321541955088712,0.000620692394780225,2,0.0460526011884212,3.90302610397339,424.831219342875,1449.3232421875
1803,"Almar",3,0,0.0443224981427193,0,0,0,0,0.0486736432221952,0.00236912354452155,0.00901284178231745,2,0,2.85670399665833,469.729407755124,811.031616210938
1804,"Qaysar",3,0,0.0843605026602745,0,0,0.0049655391582418,2.46565791320327e-05,0.024827695791209,0.000616414478300817,0.00518097132850468,12,0.35576918721199,2.79396891593933,461.365853380137,1600.13269042969
1805,"Kohistan",3,0,0.152083992958069,0,0,0,0,0,0,0.00316085848837573,5,0.666666686534882,2.4771249294281,396.188290265547,2417.52099609375
1806,"Bilchiragh",3,0,0.0639830008149147,0,0,0,0,0.134255219171645,0.0180244638748265,0.0134399650140118,3,0.46875,2.4733099937439,369.767189934894,1928.32055664062
1807,"Gurziwan",3,0,0.146969601511955,0,0,0,0,0.0452724268284401,0.00204959263093647,0.00252818931081559,0,0.430555611848831,2.82655811309814,374.097618974355,2138.69946289062
1808,"Shirin Tagab",3,0,0.0228287000209093,0,0,0,0,0.0598501352613057,0.00358203869079659,0.00852175889103511,4,0.078125,2.51703810691833,436.886270960649,642.52001953125
1809,"Dawlatabad",3,0,0,0,0,0,0,0.0309655044280671,0.000958862464484645,0.00710146574252927,1,0.3515625,3.07027792930603,433.225009774434,473.375091552734
1810,"Qaramqol",3,0,0.0230768993496895,0,0,0,0,0,0,0,0,1,2.23939394950867,455.240403281137,373.147338867188
1811,"Khani Chahar Bagh",3,0,0,0,0,0,0,0,0,0,0,0.9375,2.26801991462708,456.671348234144,271.263458251953
1812,"Andkhoy",3,0,0.0400741994380951,0,0,0,0,0,0,0,1,0.975000023841858,6.23448181152344,435.357284767556,330.196655273438
1813,"Khwaja Sabz Posh",3,0,0.0386447012424469,0,0,0,0,0,0,0.00852175889103511,0,0.174999997019768,2.48659801483154,416.020425707499,883.69677734375
1814,"Qurghan",3,0,0.0655826032161713,0,0,0,0,0,0,0,0,0.875,2.39707398414612,472.020549034868,294.433898925781
1901,"Qala-I- Naw",2,0,0.0202171001583338,0,0,0.0193389932120134,0.0003739966584543,0.17405093890812,0.0302937293347983,0.0541555247844709,1,0.21875,3.91708207130432,551.971648968257,1549.13000488281
1902,"Ab Kamari",2,0,0.0732029005885124,0,0,0.0609625994452403,0.00371643853112082,0.0762032493065504,0.00580693520487628,0.0387148148453133,18,0,2.60092902183533,573.881818431689,1289.76428222656
1903,"Qadis",2,0,0.0619636997580528,0,0,0.0329124200502463,0.00108322739356385,0.0658248401004926,0.00433290957425542,0.0202980104077729,1,0.0795454978942871,3.02540802955627,511.117844127225,1760.72668457031
1904,"Jawand",2,0,0.452233910560608,0,0,0,0,0.0383479694750163,0.00147056676285678,0.00641795317508773,9,0,2.85273909568787,444.199753913253,2138.13330078125
