Name	County	State	jurcode	SMSA	no electronic	poptot	popbl	pop_spanlan	popfb	pop2g	pers_25+	num_nosch	num_14yr	num_4hs	num_4col	meded	famtot	fam1000	fam1999	fam2999	fam3999	fam4999a	fam5999	fam6999a	fam7999	fam8999	fam9999a	fam11999	fam14999a	fam24999a	fam49999	fam50000	fammedinc	fambelowpov	proptax	expgen_ce	exped_ce	exphig_ce	exppol	expsew_ce	expsan	exppark	expint	AMR_1quart	AMR_Med	AMR_3quart
Denver	Denver	CO	denverco	Denver	N	.	.	78175	.	62541	.	.	.	.	.	.	.	2815	3525	.	5941	.	6986	.	9275	9323	.	15765	.	.	5575	.	.	.	.	84657	0	3590	8610	1428	3283	8860	1477	26.6	29.1	31.7
Detroit	X	MI	detroimi	Detroit	N	.	.	27038	.	221786	.	.	.	.	.	.	.	11184	12241	.	16529	.	17499	.	22752	26138	.	47990	.	.	12333	.	.	.	.	246677	4370	11329	46692	5622	18805	23269	11397	34.5	40.2	47.9
Downey	Los Angeles	CA	downeyca	Los Angeles	N	.	128	7836	.	13214	.	.	.	.	.	.	.	306	418	.	507	.	878	.	1277	1415	.	3281	.	.	1742	.	.	.	.	4949	0	536	1323	2	31	414	0	16.4	18.6	21.3
Duquesne	Alleghany	PA	duquespa	Pittsburgh	Y	11410	1847	54	784	3240	6993	230	326	2235	213	10.4	3097	62	127	167	168	156	161	226	214	382	346	385	363	309	27	4	8700	342	506	937	0	149	182	83	71	25	22	.	41.5	.
East Orange	Essex	NJ	easoranj	New York City	N	.	.	1542	.	11618	.	.	.	.	.	.	.	520	360	.	926	.	985	.	1272	1512	.	2313	.	.	884	.	.	.	.	16613	8014	372	1616	217	674	579	444	.	82	.
East Pittsburgh	Alleghany	PA	easpitpa	Pittsburgh	Y	3006	116	.	158	.	1878	31	57	654	62	10.8	751	39	17	43	47	33	35	61	47	81	79	98	77	71	23	0	8660	101	.	.	.	.	.	.	.	.	.	.	41.5	.
East Point	Fulton	GA	easpoiga	Atlanta	N	.	.	417	.	913	.	.	.	.	.	.	.	162	196	.	400	.	630	.	558	792	.	1424	.	.	440	.	.	.	.	2510	0	246	415	162	335	116	126	.	18.8	.
East Providence	Providence	RI	easprori	Providence	N	.	.	222	.	12478	.	.	.	.	.	.	.	176	214	.	420	.	675	.	885	1098	.	2086	.	.	314	.	.	.	.	7728	3795	600	842	174	139	182	308	.	.	.
Edgewood	Alleghany	PA	edgewopa	Pittsburgh	Y	5101	66	.	220	.	3113	15	22	1154	913	12.8	1439	20	20	9	22	46	51	81	131	73	89	189	226	326	133	23	11878	60	.	.	.	.	.	.	.	.	.	.	41.5	.
El Cerrito	Contra Costa	CA	elcerrca	San Francisco	N	.	.	1451	.	5571	.	.	.	.	.	.	.	84	42	.	161	.	246	.	292	327	.	988	.	.	705	.	.	.	.	1769	0	149	422	15	6	789	71	.	19.5	.
Evanston	Cook	IL	evanstil	Chicago	N	.	.	1407	.	14101	.	.	.	.	.	.	.	196	240	.	546	.	625	.	817	825	.	1973	.	.	2630	.	.	.	.	5974	0	456	1306	58	683	1207	106	31.5	36.6	42.1
Floral Park	Nassau	NY	floparny	New York City	Y	18466	67	225	1425	5065	10969	202	173	3971	1266	12.25	4796	88	59	63	95	125	138	182	126	248	265	642	864	1484	388	29	13274	171	1041	1139	0	163	380	0	120	64	10	.	24.2	.
Garden Grove	Orange	CA	gargroca	Los Angeles	N	.	162	9068	.	15323	.	.	.	.	.	.	.	436	449	.	778	.	1053	.	1541	1947	.	5060	.	.	992	.	.	.	.	5473	0	790	1482	0	65	1097	0	18.2	19.8	21.5
Gary	Lake	IN	garyin	Chicago	N	.	.	14241	.	19374	.	.	.	.	.	.	.	1352	1545	.	1809	.	1842	.	2760	3410	.	6125	.	.	998	.	.	.	.	13714	0	1938	2340	703	918	1031	1490	.	47.4	.
Glassport	Alleghany	PA	glassppa	Pittsburgh	Y	7450	27	.	330	.	4345	74	125	1547	190	11	1998	38	40	73	118	108	125	165	224	181	180	300	252	175	19	0	8597	157	.	.	.	.	.	.	.	.	.	.	41.5	.
Glendale	Los Angeles	CA	glendaca	Los Angeles	N	.	84	12142	.	24219	.	.	.	.	.	.	.	554	580	.	1433	.	1600	.	2083	2190	.	4412	.	.	2582	.	.	.	.	10399	0	1498	2000	114	968	1115	85	18.9	21.9	24.8
Hammond	Lake	IN	hammonin	Chicago	N	.	.	3316	.	18644	.	.	.	.	.	.	.	346	482	.	666	.	1101	.	1803	2142	.	4690	.	.	658	.	.	.	.	7892	0	1017	1687	746	753	508	998	.	47.4	.
Homestead	Alleghany	PA	homestpa	Pittsburgh	Y	6309	1735	.	346	.	4121	73	277	1252	156	10.5	1638	60	82	93	164	95	77	123	162	195	99	191	153	132	12	0	7772	225	.	.	.	.	.	.	.	.	.	.	41.5	.
Independence	Jackson	MO	indepemo	Kansas City	N	.	.	1028	.	4844	.	.	.	.	.	.	.	447	504	.	956	.	1223	.	1978	2528	.	5260	.	.	699	.	.	.	.	4324	0	670	758	330	125	139	92	.	24.3	.
Inghram	Alleghany	PA	inghrapa	Pittsburgh	Y	4902	59	.	122	.	2589	11	17	1172	200	12.2	1226	12	19	16	56	47	29	73	111	155	85	211	204	194	9	5	10095	51	.	.	.	.	.	.	.	.	.	.	41.5	.
Inglewood	Los Angeles	CA	inglewca	Los Angeles	N	.	.	10064	.	15129	.	.	.	.	.	.	.	323	464	.	857	.	1156	.	1628	1692	.	3243	.	.	857	.	.	.	.	6705	0	671	1484	43	791	792	1	16.4	18.6	21.3
Irvington	Essex	NJ	irvingnj	New York City	N	.	.	2124	.	18883	.	.	.	.	.	.	.	294	350	.	779	.	761	.	1061	1170	.	2428	.	.	385	.	.	.	.	11230	4907	286	888	69	240	124	94	.	82	.
Jersey City	Hudson	NJ	jercitnj	New York City	N	.	.	23729	.	54721	.	.	.	.	.	.	.	1967	1535	.	3202	.	4129	.	4651	5283	.	8433	.	.	1583	.	.	.	.	61179	20470	1103	7386	1152	2835	1142	1853	21.2	26.7	39.9
Kansas City	Wyandotte	KS	kancitks	Kansas City	N	.	.	5382	.	11498	.	.	.	.	.	.	.	1084	1267	.	2095	.	2578	.	3422	3736	.	6140	.	.	629	.	.	.	.	8582	0	487	1805	253	594	617	744	10.1	13.8	16.2
Kansas City	Jackson	MO	kancitmo	Kansas City	N	.	.	12409	.	29708	.	.	.	.	.	.	.	2660	3324	.	5328	.	6606	.	7900	7543	.	14084	.	.	3792	.	.	.	.	51944	0	3646	10920	1759	1752	5634	4752	20.8	25.6	30.4
Kearny	Hudson	NJ	kearnynj	New York City	N	.	121	638	.	11242	.	.	.	.	.	.	.	148	116	.	258	.	387	.	578	777	.	1696	.	.	334	.	.	.	.	8396	3699	125	1014	236	348	331	316	.	24	.
